term_id,count,Total,Total_dif_count
GO:0030317,136,572970,572834
GO:0051897,135,572970,572835
GO:0001671,134,572970,572836
GO:0005788,133,572970,572837
GO:0034399,133,572970,572837
GO:0016226,133,572970,572837
GO:0016971,132,572970,572838
GO:0019904,132,572970,572838
GO:0015038,131,572970,572839
GO:0016324,131,572970,572839
GO:0042288,130,572970,572840
GO:0015693,129,572970,572841
GO:0036498,128,572970,572842
GO:0005178,128,572970,572842
GO:0010109,126,572970,572844
GO:0071305,125,572970,572845
GO:0030018,125,572970,572845
GO:0006109,124,572970,572846
GO:0030424,124,572970,572846
GO:0005813,123,572970,572847
GO:0002250,120,572970,572850
GO:0001669,118,572970,572852
GO:0120293,118,572970,572852
GO:0031966,114,572970,572856
GO:0060586,112,572970,572858
GO:0051787,111,572970,572859
GO:0045169,111,572970,572859
GO:0009897,110,572970,572860
GO:0046688,110,572970,572860
GO:0010614,108,572970,572862
GO:1902236,107,572970,572863
GO:1990229,107,572970,572863
GO:0000103,107,572970,572863
GO:0062062,105,572970,572865
GO:0030496,105,572970,572865
GO:0016972,103,572970,572867
GO:0009968,102,572970,572868
GO:0045296,100,572970,572870
GO:0055093,99,572970,572871
GO:0099503,98,572970,572872
GO:0051924,98,572970,572872
GO:0001666,96,572970,572874
GO:0010190,96,572970,572874
GO:0098761,96,572970,572874
GO:0035686,96,572970,572874
GO:0035578,96,572970,572874
GO:0015095,94,572970,572876
GO:0009410,91,572970,572879
GO:0007143,90,572970,572880
GO:0043209,90,572970,572880
GO:0030286,90,572970,572880
GO:0034614,89,572970,572881
GO:0009644,87,572970,572883
GO:0043388,86,572970,572884
GO:0002026,85,572970,572885
GO:0047134,85,572970,572885
GO:0010183,83,572970,572887
GO:0016242,83,572970,572887
GO:0010269,82,572970,572888
GO:0035722,81,572970,572889
GO:0031514,81,572970,572889
GO:0016712,80,572970,572890
GO:0045171,80,572970,572890
GO:0042824,80,572970,572890
GO:0020003,78,572970,572892
GO:0050890,78,572970,572892
GO:0005811,78,572970,572892
GO:0048046,78,572970,572892
GO:0042100,77,572970,572893
GO:0048671,77,572970,572893
GO:0031397,77,572970,572893
GO:0060170,76,572970,572894
GO:0019344,76,572970,572894
GO:0019430,74,572970,572896
GO:0048487,74,572970,572896
GO:0043277,73,572970,572897
GO:0085029,71,572970,572899
GO:0017004,70,572970,572900
GO:0033138,70,572970,572900
GO:0004791,70,572970,572900
GO:0016671,69,572970,572901
GO:0005758,67,572970,572903
GO:0031093,67,572970,572903
